,Rk_g,Player,Age_g,Team_g,Pos_g,G_g,GS_g,MP_g,FG_g,FGA_g,FG%_g,3P_g,3PA_g,3P%_g,2P_g,2PA_g,2P%_g,eFG%_g,FT_g,FTA_g,FT%_g,ORB_g,DRB_g,TRB_g,AST_g,STL_g,BLK_g,TOV_g,PF_g,PTS_g,Awards_g,PTS_tot,AST_tot,TRB_tot,STL_tot,BLK_tot,FT_tot,FTA_tot,FG_tot,FGA_tot,3P_tot,TOV_tot,Fpoints_tot,Fpoints_avg_G,Fpoints_avg_min,Fpoints_per36, Rk,Pos_per,Tm,G_per,MP_per,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,Player-additional,Rk_per,Team_per,Pos,G,GS_per,MP,FG_per,FGA_per,FG%_per,3P_per,3PA_per,3P%_per,2P_per,2PA_per,2P%_per,eFG%_per,FT_per,FTA_per,FT%_per,ORB_per,DRB_per,TRB_per,AST_per,STL_per,BLK_per,TOV_per,PF_per,PTS_per,Awards_per
0,1.0,Joel Embiid,29.0,PHI,C,39.0,39.0,33.6,11.5,21.8,0.529,1.4,3.6,0.388,10.2,18.3,0.556,0.561,10.2,11.6,0.883,2.4,8.6,11.0,5.6,1.2,1.7,3.8,2.9,34.7,AS,1353.3000000000002,218.39999999999998,429.0,46.8,66.3,397.79999999999995,452.4,448.5,850.2,54.599999999999994,148.2,2421.8999999999996,62.09999999999999,1.8482142857142854,66.53571428571428,11,C,PHI,39,1309,34.1,0.644,0.163,0.531,7.9,28.8,18.1,32.4,1.7,4.6,12.5,39.6,5.2,2.3,7.5,0.275,8.5,3.1,11.6,4.5,embiijo01,2.0,PHI,C,39.0,39.0,1309.0,12.4,23.4,0.529,1.5,3.8,0.388,10.9,19.6,0.556,0.561,11.0,12.4,0.883,2.6,9.2,11.8,6.0,1.3,1.8,4.1,3.1,37.2,AS
1,2.0,Luka Dončić,24.0,DAL,PG,70.0,70.0,37.5,11.5,23.6,0.487,4.1,10.6,0.382,7.4,13.0,0.573,0.573,6.8,8.7,0.786,0.8,8.4,9.2,9.8,1.4,0.5,4.0,2.1,33.9,MVP-3CPOY-6ASNBA1,2373.0,686.0,644.0,98.0,35.0,476.0,609.0,805.0,1652.0,287.0,280.0,4473.0,63.9,1.704,61.344,2,PG,DAL,70,2624,28.1,0.617,0.45,0.368,2.5,24.4,13.5,44.3,1.8,1.3,12.8,36.0,8.5,3.5,12.0,0.22,8.3,1.7,9.9,8.0,doncilu01,3.0,DAL,PG,70.0,70.0,2624.0,11.0,22.7,0.487,3.9,10.2,0.382,7.1,12.5,0.573,0.573,6.6,8.3,0.786,0.8,8.1,8.9,9.4,1.4,0.5,3.9,2.0,32.5,MVP-3CPOY-6ASNBA1
2,3.0,Giannis Antetokounmpo,29.0,MIL,PF,73.0,73.0,35.2,11.5,18.8,0.611,0.5,1.7,0.274,11.0,17.1,0.645,0.624,7.0,10.7,0.657,2.7,8.8,11.5,6.5,1.2,1.1,3.4,2.9,30.4,MVP-4DPOY-9CPOY-12ASNBA1,2219.2,474.5,839.5,87.6,80.30000000000001,511.0,781.0999999999999,839.5,1372.4,36.5,248.2,4255.9,58.3,1.6562499999999998,59.62499999999999,3,PF,MIL,73,2567,29.9,0.649,0.091,0.571,8.6,27.0,17.9,32.7,1.6,2.6,12.7,33.0,9.5,3.7,13.2,0.246,6.7,2.4,9.0,7.2,antetgi01,5.0,MIL,PF,73.0,73.0,2567.0,11.7,19.2,0.611,0.5,1.7,0.274,11.3,17.5,0.645,0.624,7.2,11.0,0.657,2.7,9.0,11.8,6.7,1.2,1.1,3.5,2.9,31.2,MVP-4DPOY-9CPOY-12ASNBA1
3,4.0,Shai Gilgeous-Alexander,25.0,OKC,PG,75.0,75.0,34.0,10.6,19.8,0.535,1.3,3.6,0.353,9.3,16.2,0.576,0.567,7.6,8.7,0.874,0.9,4.7,5.5,6.2,2.0,0.9,2.2,2.5,30.1,MVP-2DPOY-7CPOY-3ASNBA1,2257.5,465.0,412.5,150.0,67.5,570.0,652.5,795.0,1485.0,97.5,165.0,4260.0,56.8,1.6705882352941175,60.14117647058823,4,PG,OKC,75,2553,29.3,0.636,0.181,0.436,3.0,14.7,9.1,29.8,2.8,2.4,8.4,32.8,10.5,4.2,14.6,0.275,6.7,2.3,9.0,7.1,gilgesh01,4.0,OKC,PG,75.0,75.0,2553.0,11.2,21.0,0.535,1.3,3.8,0.353,9.9,17.2,0.576,0.567,8.0,9.2,0.874,0.9,4.9,5.9,6.6,2.1,0.9,2.3,2.6,31.8,MVP-2DPOY-7CPOY-3ASNBA1
4,5.0,Jalen Brunson,27.0,NYK,PG,77.0,77.0,35.4,10.3,21.4,0.479,2.7,6.8,0.401,7.5,14.6,0.516,0.543,5.5,6.5,0.847,0.6,3.1,3.6,6.7,0.9,0.2,2.4,1.9,28.7,MVP-5CPOY-5ASNBA2,2209.9,515.9,277.2,69.3,15.4,423.5,500.5,793.1,1647.8,207.9,184.79999999999998,3557.4,46.2,1.305084745762712,46.98305084745763,6,PG,NYK,77,2726,23.4,0.592,0.319,0.302,1.8,9.7,5.7,33.5,1.3,0.4,9.1,32.5,8.8,2.4,11.2,0.198,6.3,-0.4,5.8,5.4,brunsja01,6.0,NYK,PG,77.0,77.0,2726.0,10.4,21.8,0.479,2.8,6.9,0.401,7.6,14.8,0.516,0.543,5.6,6.6,0.847,0.6,3.1,3.7,6.9,0.9,0.2,2.5,1.9,29.2,MVP-5CPOY-5ASNBA2
5,6.0,Devin Booker,27.0,PHO,PG,68.0,68.0,36.0,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13.0,0.552,0.55,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,ASNBA3,1842.8000000000002,469.20000000000005,306.0,61.2,27.200000000000003,408.0,455.6,639.2,1305.6,149.60000000000002,176.8,3162.000000000001,46.500000000000014,1.291666666666667,46.500000000000014,31,PG,PHO,68,2447,21.9,0.611,0.32,0.35,2.7,11.1,7.1,31.2,1.2,1.0,10.6,29.8,7.2,2.0,9.2,0.181,4.0,-1.0,3.0,3.1,bookede01,10.0,PHO,PG,68.0,68.0,2447.0,9.4,19.2,0.492,2.2,6.1,0.364,7.2,13.0,0.552,0.55,6.0,6.7,0.886,0.8,3.7,4.5,6.9,0.9,0.4,2.6,3.0,27.1,ASNBA3
6,7.0,Kevin Durant,35.0,PHO,PF,75.0,75.0,37.2,10.0,19.1,0.523,2.2,5.4,0.413,7.8,13.7,0.567,0.581,4.8,5.6,0.856,0.5,6.1,6.6,5.0,0.9,1.2,3.3,1.8,27.1,MVP-9ASNBA2,2032.5,375.0,495.0,67.5,90.0,360.0,420.0,750.0,1432.5,165.0,247.5,3585.0,47.8,1.2849462365591395,46.258064516129025,14,PF,PHO,75,2791,21.2,0.626,0.283,0.295,1.7,17.5,10.0,22.2,1.2,2.9,13.1,29.0,5.1,3.2,8.3,0.142,4.0,0.1,4.0,4.3,duranke01,19.0,PHO,PF,75.0,75.0,2791.0,9.7,18.5,0.523,2.2,5.2,0.413,7.5,13.3,0.567,0.581,4.7,5.5,0.856,0.5,5.9,6.4,4.9,0.9,1.2,3.1,1.7,26.2,MVP-9ASNBA2
7,8.0,Jayson Tatum,25.0,BOS,PF,74.0,74.0,35.7,9.1,19.3,0.471,3.1,8.2,0.376,6.0,11.0,0.542,0.552,5.6,6.7,0.833,0.9,7.2,8.1,4.9,1.0,0.6,2.5,2.0,26.9,MVP-6CPOY-9ASNBA1,1990.6,362.6,599.4,74.0,44.4,414.4,495.8,673.4,1428.2,229.4,185.0,3485.3999999999996,47.099999999999994,1.3193277310924367,47.49579831932772,10,PF,BOS,74,2645,22.3,0.604,0.427,0.349,2.9,20.9,12.3,21.0,1.4,1.4,10.3,30.2,6.4,4.1,10.4,0.189,4.5,0.6,5.1,4.7,tatumja01,12.0,BOS,PF,74.0,74.0,2645.0,9.1,19.4,0.471,3.1,8.3,0.376,6.0,11.1,0.542,0.552,5.6,6.8,0.833,0.9,7.3,8.2,5.0,1.0,0.6,2.6,2.0,27.0,MVP-6CPOY-9ASNBA1
8,9.0,De'Aaron Fox,26.0,SAC,PG,74.0,74.0,35.9,9.7,20.9,0.465,2.9,7.8,0.369,6.8,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.6,2.0,0.4,2.6,2.6,26.6,CPOY-12,1968.4,414.4,340.4,148.0,29.6,310.8,421.8,717.8,1546.6,214.6,192.4,3455.8,46.7,1.3008356545961004,46.83008356545962,29,PG,SAC,74,2659,20.1,0.567,0.374,0.273,2.8,11.8,7.2,25.2,2.7,1.1,10.1,31.0,3.3,3.2,6.5,0.117,2.6,0.1,2.7,3.2,foxde01,16.0,SAC,PG,74.0,74.0,2659.0,9.7,21.0,0.465,2.9,7.9,0.369,6.9,13.1,0.522,0.534,4.2,5.7,0.738,0.9,3.7,4.6,5.7,2.0,0.4,2.6,2.6,26.6,CPOY-12
9,10.0,Donovan Mitchell,27.0,CLE,SG,55.0,55.0,35.3,9.1,19.8,0.462,3.3,9.0,0.368,5.8,10.8,0.539,0.545,5.0,5.8,0.865,0.8,4.3,5.1,6.1,1.8,0.5,2.8,2.1,26.6,AS,1463.0,335.5,280.5,99.0,27.5,275.0,319.0,500.5,1089.0,181.5,154.0,2662.0,48.4,1.3711048158640227,49.359773371104815,15,SG,CLE,55,1942,22.1,0.595,0.454,0.292,2.7,13.4,8.1,28.3,2.6,1.4,11.1,31.4,3.6,2.9,6.4,0.159,4.6,1.2,5.8,3.9,mitchdo01,11.0,CLE,SG,55.0,55.0,1942.0,9.3,20.2,0.462,3.4,9.2,0.368,6.0,11.0,0.539,0.545,5.1,5.9,0.865,0.9,4.3,5.2,6.2,1.9,0.6,2.9,2.2,27.1,AS
10,11.0,Stephen Curry,35.0,GSW,PG,74.0,74.0,32.7,8.8,19.5,0.45,4.8,11.8,0.408,4.0,7.7,0.515,0.573,4.0,4.4,0.923,0.5,4.0,4.5,5.1,0.7,0.4,2.8,1.6,26.4,CPOY-1ASNBA3,1953.6,377.4,333.0,51.8,29.6,296.0,325.6,651.2,1443.0,355.2,207.2,3137.6,42.4,1.2966360856269112,46.678899082568805,13,PG,GSW,74,2421,20.6,0.616,0.606,0.224,1.7,12.9,7.4,24.7,1.1,1.0,11.7,31.3,5.2,2.0,7.2,0.142,6.3,-1.1,5.2,4.4,curryst01,8.0,GSW,PG,74.0,74.0,2421.0,9.7,21.5,0.45,5.3,13.0,0.408,4.4,8.5,0.515,0.573,4.4,4.8,0.923,0.6,4.4,4.9,5.6,0.8,0.4,3.1,1.7,29.1,CPOY-1ASNBA3
11,12.0,Nikola Jokić,28.0,DEN,C,79.0,79.0,34.6,10.4,17.9,0.583,1.1,2.9,0.359,9.4,14.9,0.626,0.612,4.5,5.5,0.817,2.8,9.5,12.4,9.0,1.4,0.9,3.0,2.5,26.4,MVP-1CPOY-4ASNBA1,2085.6,711.0,979.6,110.6,71.10000000000001,355.5,434.5,821.6,1414.1,86.9,237.0,4976.999999999999,62.999999999999986,1.8208092485549128,65.54913294797686,1,C,DEN,79,2737,31.0,0.65,0.164,0.31,9.3,29.6,19.8,42.0,2.0,2.1,12.9,29.3,12.0,5.1,17.0,0.299,9.0,4.2,13.2,10.6,jokicni01,9.0,DEN,C,79.0,79.0,2737.0,10.8,18.6,0.583,1.1,3.0,0.359,9.7,15.5,0.626,0.612,4.7,5.8,0.817,2.9,9.9,12.8,9.3,1.4,0.9,3.1,2.6,27.4,MVP-1CPOY-4ASNBA1
12,13.0,Anthony Edwards,22.0,MIN,SG,79.0,78.0,35.1,9.1,19.7,0.461,2.4,6.7,0.357,6.7,13.0,0.515,0.522,5.4,6.4,0.836,0.7,4.8,5.4,5.1,1.3,0.5,3.1,1.8,25.9,MVP-7CPOY-8ASNBA2,2046.1,402.9,426.6,102.7,39.5,426.6,505.6,718.9,1556.3,189.6,244.9,3349.6,42.4,1.207977207977208,43.48717948717949,18,SG,MIN,79,2770,19.7,0.575,0.341,0.325,2.2,14.8,8.8,24.6,1.8,1.3,11.9,32.3,2.9,4.7,7.5,0.13,2.7,0.5,3.3,3.7,edwaran01,15.0,MIN,SG,79.0,78.0,2770.0,9.3,20.2,0.461,2.5,6.9,0.357,6.9,13.3,0.515,0.522,5.5,6.6,0.836,0.7,4.9,5.6,5.3,1.3,0.5,3.1,1.8,26.6,MVP-7CPOY-8ASNBA2
13,14.0,Tyrese Maxey,23.0,PHI,PG,70.0,70.0,37.5,9.1,20.3,0.45,3.0,8.1,0.373,6.1,12.1,0.501,0.524,4.7,5.4,0.868,0.5,3.2,3.7,6.2,1.0,0.5,1.7,2.2,25.9,MIP-1AS,1813.0,434.0,259.0,70.0,35.0,329.0,378.0,637.0,1421.0,210.0,119.0,3136.0,44.8,1.1946666666666665,43.007999999999996,24,PG,PHI,70,2626,19.8,0.573,0.401,0.266,1.5,9.5,5.4,26.7,1.3,1.1,6.8,28.0,5.9,2.1,8.1,0.147,4.1,-1.0,3.1,3.4,maxeyty01,32.0,PHI,PG,70.0,70.0,2626.0,8.7,19.5,0.45,2.9,7.8,0.373,5.8,11.7,0.501,0.524,4.5,5.2,0.868,0.5,3.0,3.5,5.9,0.9,0.5,1.6,2.1,24.9,MIP-1AS
14,15.0,LeBron James,39.0,LAL,PF,71.0,71.0,35.3,9.6,17.9,0.54,2.1,5.1,0.41,7.5,12.8,0.592,0.599,4.3,5.7,0.75,0.9,6.4,7.3,8.3,1.3,0.5,3.5,1.1,25.7,CPOY-10ASNBA3,1824.7,589.3000000000001,518.3,92.3,35.5,305.3,404.7,681.6,1270.8999999999999,149.1,248.5,3677.800000000001,51.80000000000002,1.467422096317281,52.827195467422115,7,PF,LAL,71,2504,23.7,0.63,0.286,0.318,2.8,19.3,11.5,37.5,1.7,1.3,14.5,29.2,5.7,2.8,8.5,0.164,5.5,0.9,6.5,5.4,jamesle01,20.0,LAL,PF,71.0,71.0,2504.0,9.8,18.2,0.54,2.1,5.2,0.41,7.7,13.0,0.592,0.599,4.4,5.8,0.75,0.9,6.6,7.4,8.5,1.3,0.5,3.5,1.1,26.2,CPOY-10ASNBA3
