Number,Name,Team,Primary_Position,Secondary_Position,Fpoints_avg_G,Fpoints_avg_min,Fpoints_pergame_rank,Fpoints_permin_rank,Zscore_Fpoints_avg_G,Zscore_Fpoints_avg_min
1,Nikola Jokic,DEN,C1,N/A,62.99999999999999,1.8208092485549128,2.0,5.0,3.2131680949771773,3.419506743998012
2,Luka Doncic,DAL,PG1,N/A,63.9,1.704,1.0,7.0,3.3147409829210415,2.8517382213149762
3,Shai Gilgeous-Alexander,OKC,PG2,N/A,56.8,1.6705882352941177,5.0,8.0,2.5134437558083405,2.6893354276836656
4,Victor Wembanyama,SA,C2,N/A,51.2,1.723905723905724,8.0,6.0,1.8814346752687463,2.948492918350599
5,Giannis Antetokounmpo,MIL,PF1,C,58.3,1.6562499999999998,4.0,10.0,2.6827319023814464,2.619642327423749
6,Domantas Sabonis,SAC,C3,PF,50.2,1.406162464985994,10.0,18.0,1.7685759108866759,1.4040551024995798
7,Tyrese Haliburton,IND,PG3,SG,50.3,1.5621118012422357,9.0,13.0,1.7798617873248823,2.162069774753734
8,Joel Embiid,PHI,C4,N/A,62.09999999999999,1.8482142857142847,3.0,4.0,3.111595207033313,3.5527129554456915
9,Jayson Tatum,BOS,PF2,SF,47.1,1.3193277310924367,14.0,32.0,1.418713741302257,0.9819821143565018
10,Anthony Edwards,MIN,SG1,SF,42.4,1.207977207977208,27.5,63.0,0.8882775487065254,0.4407465290646757
11,Anthony Davis,LAL,C5,PF,55.1,1.552112676056338,6.0,14.0,2.321583856358821,2.113467556991405
12,Jalen Brunson,NY,PG4,N/A,46.2,1.305084745762712,18.0,35.0,1.317140853358394,0.9127519905495468
13,Ja Morant,MEM,PG5,N/A,45.70000000000001,1.294617563739377,21.0,40.0,1.2607114711673593,0.8618747137280164
14,Donovan Mitchell,CLE,SG2,PG,48.4,1.3711048158640229,11.0,22.0,1.5654301349989486,1.2336522457312264
15,LeBron James,LAL,SF1,PF,51.80000000000002,1.467422096317281,7.0,15.0,1.9491499338979905,1.7018165452908267
16,Trae Young,ATL,PG6,N/A,46.69999999999999,1.2972222222222218,16.0,37.0,1.3735702355494275,0.8745350391491099
17,De'Aaron Fox,SAC,PG7,N/A,46.7,1.3008356545961004,15.0,36.0,1.373570235549429,0.8920986583497559
18,Devin Booker,PHX,PG8,SG,46.500000000000014,1.291666666666667,17.0,41.0,1.3509984826730164,0.847531444746411
19,Scottie Barnes,TOR,SF2,SG,46.0,1.318051575931232,19.0,33.0,1.2945691004819795,0.9757791746102455
20,Pascal Siakam,IND,PF3,N/A,39.0,1.1746987951807228,41.5,87.0,0.5045577498074858,0.27899191199071866
21,Kevin Durant,PHX,PF4,N/A,47.8,1.2849462365591395,12.0,43.0,1.497714876369706,0.8148658063560426
22,Karl-Anthony Towns,MIN*,C6,PF,37.6,1.149847094801223,52.5,107.0,0.3465554796725872,0.1581965692829288
23,Tyrese Maxey,PHI,PG9,SG,44.8,1.1946666666666663,23.0,76.0,1.1591385832234944,0.37604868647522516
24,Damian Lillard,MIL,PG10,N/A,42.1,1.1926345609065157,30.0,77.0,0.8544199193919045,0.36617133772373445
25,Alperen Sengun,HOU,C7,N/A,42.80000000000002,1.3169230769230775,25.0,34.0,0.9334210544593559,0.9702939393002361
26,James Harden,LAC,PG11,SG,41.5,1.209912536443149,31.0,62.0,0.7867046607626621,0.4501534775521247
27,LaMelo Ball,CHA,PG12,N/A,45.4,1.405572755417957,22.0,19.0,1.2268538418527368,1.4011887324612595
28,Cade Cunningham,DET,PG13,SG,39.899999999999984,1.1910447761194023,39.0,78.0,0.6061306377513475,0.35844395507955124
29,DeMar DeRozan,SAC,SF3,PF,41.29999999999999,1.0925925925925923,32.0,137.0,0.7641329078862469,-0.12009735468375855
30,Paolo Banchero,ORL,PF5,SF,38.1,1.0885714285714283,49.0,142.0,0.4029848618636225,-0.13964281348952412
31,Nikola Vucevic,CHI,C8,N/A,38.30000000000001,1.1166180758017497,46.0,127.0,0.4255566147400377,-0.003317961980135077
