Rank,Player,GP,MIN
51,Jalen Johnson,70,34.9
52,Paul George,67,33.1
53,Jonas Valanciunas,81,27.2
54,Immanuel Quickley,72,35.1
55,Myles Turner,74,28.1
56,Franz Wagner,73,33.7
57,Kyle Kuzma,71,33.4
58,Nic Claxton,72,30.9
59,Fred VanVleet,71,32.9
60,Jarrett Allen,73,32.5
61,Anfernee Simons,67,35.2
62,Jimmy Butler,65,33.5
63,Cam Thomas,71,34.0
64,Evan Mobley,68,32.0
65,Darius Garland,71,34.1
66,Daniel Gafford,76,25.4
67,Jrue Holiday,72,33.1
68,Derrick White,75,31.3
69,Austin Reaves,76,33.9
70,CJ McCollum,70,31.4
71,Jaren Jackson Jr.,67,30.9
72,Zach LaVine,65,35.6
73,Devin Vassell,70,33.5
74,Brandon Miller,73,34.0
75,Brandon Ingram,65,32.8
76,Josh Giddey,75,28.9
77,Buddy Hield,82,30.1
78,Michael Porter Jr.,71,32.3
79,Jalen Duren,72,30.7
80,Kristaps Porzingis,58,30.3
81,Bradley Beal,65,33.6
82,Collin Sexton,74,27.3
83,Tyler Herro,70,33.8
84,Tobias Harris,73,32.9
85,Terry Rozier,70,30.8
86,Bogdan Bogdanovic,74,31.8
87,Klay Thompson,73,33.1
88,Russell Westbrook,73,28.3
89,Grayson Allen,74,34.1
90,Amen Thompson,70,28.1
91,Jusuf Nurkic,69,27.9
92,Trayce Jackson-Davis,72,24.7
93,Keegan Murray,78,33.2
94,Isaiah Hartenstein,76,27.4
95,Josh Hart,77,34.1
96,Brook Lopez,72,29.7
97,Mark Williams,66,28.9
98,RJ Barrett,69,34.2
99,Bobby Portis,79,26.0
100,Clint Capela,74,25.4
