,Player,ESPN_Rank,proj_rank,Tot_fpoints
0,Nikola Jokic,1,1.0,4921.101156069363
1,Luka Doncic,2,2.0,4539.456
2,Shai Gilgeous-Alexander,3,3.0,4302.098823529412
4,Giannis Antetokounmpo,5,4.0,4104.187499999999
5,Domantas Sabonis,6,5.0,4060.9971988795505
3,Victor Wembanyama,4,6.0,4030.491582491583
7,Joel Embiid,8,7.0,3814.7142857142835
6,Tyrese Haliburton,7,8.0,3805.3043478260856
8,Jayson Tatum,9,9.0,3609.6806722689066
10,Anthony Davis,11,10.0,3566.1340845070417
11,Jalen Brunson,12,11.0,3550.8745762711865
9,Anthony Edwards,10,12.0,3467.3777777777773
13,Donovan Mitchell,14,13.0,3464.781869688386
16,De'Aaron Fox,17,14.0,3390.4980501392765
14,LeBron James,15,15.0,3357.461756373939
18,Scottie Barnes,19,16.0,3349.16905444126
17,Devin Booker,18,17.0,3309.250000000001
15,Trae Young,16,18.0,3287.1611111111106
12,Ja Morant,13,19.0,3280.560906515582
24,Alperen Sengun,25,20.0,3195.3821538461557
26,LaMelo Ball,27,21.0,3181.9356037151706
22,Tyrese Maxey,23,22.0,3148.185599999999
19,Pascal Siakam,20,23.0,3142.7891566265057
20,Kevin Durant,21,24.0,3095.4354838709673
32,Dejounte Murray,33,25.0,3039.9999999999995
36,Stephen Curry,37,26.0,3024.7926605504585
25,James Harden,26,27.0,3022.8454810495637
31,Chet Holmgren,32,28.0,2993.216326530613
43,Jamal Murray,44,29.0,2992.8257142857137
33,Bam Adebayo,34,30.0,2985.797647058823
35,Kyrie Irving,36,31.0,2977.645714285714
23,Damian Lillard,24,32.0,2972.045325779037
29,Paolo Banchero,30,33.0,2970.058285714285
30,Nikola Vucevic,31,34.0,2969.980758017494
27,Cade Cunningham,28,35.0,2909.7223880597
40,Lauri Markkanen,41,36.0,2906.22658610272
38,Jaylen Brown,39,37.0,2899.032835820896
39,Desmond Bane,40,38.0,2884.119767441861
41,Jalen Williams,42,39.0,2856.2607028754
42,Kawhi Leonard,43,40.0,2851.955685131194
59,Jarrett Allen,60,41.0,2851.490536277603
28,DeMar DeRozan,29,42.0,2826.755555555555
21,Karl-Anthony Towns,22,43.0,2809.0764525993877
49,D'Angelo Russell,50,44.0,2796.100917431192
37,Zion Williamson,38,45.0,2773.028571428572
45,Rudy Gobert,46,46.0,2752.19237536657
58,Fred VanVleet,59,47.0,2742.143478260869
63,Evan Mobley,64,48.0,2730.6666666666665
46,Mikal Bridges,47,49.0,2712.786206896551
50,Jalen Johnson,51,50.0,2696.7240356083084
48,Julius Randle,49,51.0,2693.494915254238
53,Immanuel Quickley,54,52.0,2691.6410958904107
47,Miles Bridges,48,53.0,2686.7935828877003
67,Derrick White,68,54.0,2678.742331288344
65,Daniel Gafford,66,55.0,2671.0432653061225
51,Paul George,52,56.0,2670.4257396449707
56,Kyle Kuzma,57,57.0,2669.643558282208
44,Coby White,45,58.0,2668.944657534246
54,Myles Turner,55,59.0,2664.7125925925925
55,Franz Wagner,56,60.0,2626.629846153846
34,Jalen Green,35,61.0,2618.214511041011
57,Nic Claxton,58,62.0,2613.020134228188
68,Austin Reaves,69,63.0,2608.504672897196
69,CJ McCollum,70,64.0,2547.5290519877667
75,Josh Giddey,76,65.0,2504.2828685258964
61,Jimmy Butler,62,66.0,2497.7205882352937
78,Jalen Duren,79,67.0,2483.8515463917524
83,Tobias Harris,84,68.0,2465.6505917159766
72,Devin Vassell,73,69.0,2465.4380664652567
74,Brandon Ingram,75,70.0,2456.012158054711
82,Tyler Herro,83,71.0,2443.6895522388054
70,Jaren Jackson Jr.,71,72.0,2417.493167701863
64,Darius Garland,65,73.0,2413.851197604791
81,Collin Sexton,82,74.0,2399.9368421052627
76,Buddy Hield,77,75.0,2391.3688715953303
84,Terry Rozier,85,76.0,2375.473053892216
60,Anfernee Simons,61,77.0,2372.1116279069774
85,Bogdan Bogdanovic,86,78.0,2368.6815789473685
111,Donte DiVincenzo,112,79.0,2366.185567010308
92,Keegan Murray,93,80.0,2366.092857142857
62,Cam Thomas,63,81.0,2360.1847133757965
93,Isaiah Hartenstein,94,82.0,2354.017391304348
90,Jusuf Nurkic,91,83.0,2348.198901098901
66,Jrue Holiday,67,84.0,2339.604878048781
97,RJ Barrett,98,85.0,2337.467507886435
86,Klay Thompson,87,86.0,2326.807407407408
87,Russell Westbrook,88,87.0,2322.9897777777783
80,Bradley Beal,81,88.0,2321.72972972973
98,Bobby Portis,99,89.0,2305.5102040816323
96,Mark Williams,97,90.0,2293.166292134831
108,Jabari Smith Jr.,109,91.0,2289.0000000000005
105,Deni Avdija,106,92.0,2286.7026578073087
102,Jonathan Kuminga,103,93.0,2282.013688212928
89,Amen Thompson,90,94.0,2265.5625000000005
99,Clint Capela,100,95.0,2258.4341085271317
100,Jakob Poeltl,101,96.0,2258.4242424242425
77,Michael Porter Jr.,78,97.0,2257.128075709779
91,Trayce Jackson-Davis,92,98.0,2249.78313253012
103,Malcolm Brogdon,104,99.0,2246.8937282229963
73,Brandon Miller,74,100.0,2243.0496894409935
104,Aaron Gordon,105,101.0,2242.834285714285
110,Tyus Jones,111,102.0,2224.0648464163824
95,Brook Lopez,96,103.0,2222.5337704918034
114,Caris LeVert,115,104.0,2219.475
71,Zach LaVine,72,105.0,2194.65329512894
88,Grayson Allen,89,106.0,2191.9683582089556
106,Naz Reid,107,107.0,2186.8363636363633
